Day of data collection,Patients currently hospitalized in an inpatient bed who have suspected or confirmed COVID-19
"April 17, 2020",0
"April 18, 2020",0
"April 18, 2020",0
"April 18, 2020",0
"April 18, 2020",6
"April 18, 2020",3
"April 18, 2020",0
"April 18, 2020",9
"April 18, 2020",5
"April 18, 2020",3
"April 18, 2020",1
"April 18, 2020",0
"April 18, 2020",0
"April 18, 2020",0
"April 18, 2020",5
"April 18, 2020",7
"April 18, 2020",4
"April 18, 2020",2
"April 18, 2020",0
"April 18, 2020",0
"April 18, 2020",0
"April 18, 2020",0
"April 18, 2020",4
"April 18, 2020",1
"April 18, 2020",0
"April 18, 2020",0
"April 18, 2020",2
"April 18, 2020",0
"April 18, 2020",1
"April 18, 2020",0
"April 18, 2020",0
"April 18, 2020",0
"April 18, 2020",0
"April 18, 2020",0
"April 18, 2020",0
"April 18, 2020",0
"April 19, 2020",0
"April 19, 2020",2
"April 19, 2020",3
"April 19, 2020",2
"April 19, 2020",4
"April 19, 2020",5
"April 19, 2020",0
"April 19, 2020",0
"April 19, 2020",0
"April 19, 2020",0
"April 19, 2020",0
"April 19, 2020",0
"April 19, 2020",0
"April 19, 2020",5
"April 19, 2020",7
"April 19, 2020",4
"April 19, 2020",2
"April 19, 2020",0
"April 19, 2020",3
"April 19, 2020",1
"April 19, 2020",1
"April 19, 2020",0
"April 19, 2020",0
"April 19, 2020",2
"April 19, 2020",0
"April 19, 2020",1
"April 19, 2020",0
"April 19, 2020",0
"April 19, 2020",1
"April 19, 2020",0
"April 19, 2020",0
"April 19, 2020",0
"April 19, 2020",0
"April 20, 2020",0
"April 20, 2020",0
"April 20, 2020",0
"April 20, 2020",3
"April 20, 2020",0
"April 20, 2020",2
"April 20, 2020",1
"April 20, 2020",3
"April 20, 2020",4
"April 20, 2020",0
"April 20, 2020",0
"April 20, 2020",1
"April 20, 2020",0
"April 20, 2020",1
"April 20, 2020",6
"April 20, 2020",5
"April 20, 2020",1
"April 20, 2020",4
"April 20, 2020",5
"April 20, 2020",8
"April 20, 2020",2
"April 20, 2020",1
"April 20, 2020",2
"April 20, 2020",2
"April 20, 2020",0
"April 20, 2020",1
"April 20, 2020",0
"April 20, 2020",0
"April 20, 2020",0
"April 20, 2020",0
"April 20, 2020",1
"April 20, 2020",0
"April 20, 2020",0
"April 20, 2020",0
"April 20, 2020",0
"April 21, 2020",1
"April 21, 2020",0
"April 21, 2020",0
"April 21, 2020",0
"April 21, 2020",5
"April 21, 2020",0
"April 21, 2020",0
"April 21, 2020",0
"April 21, 2020",0
"April 21, 2020",3
"April 21, 2020",2
"April 21, 2020",9
"April 21, 2020",9
"April 21, 2020",14
"April 21, 2020",0
"April 21, 2020",1
"April 21, 2020",0
"April 21, 2020",0
"April 21, 2020",0
"April 21, 2020",6
"April 21, 2020",8
"April 21, 2020",3
"April 21, 2020",0
"April 21, 2020",1
"April 21, 2020",0
"April 21, 2020",0
"April 21, 2020",0
"April 21, 2020",4
"April 21, 2020",0
"April 21, 2020",2
"April 21, 2020",0
"April 21, 2020",1
"April 21, 2020",0
"April 21, 2020",0
"April 21, 2020",0
"April 21, 2020",0
"April 22, 2020",2
"April 22, 2020",0
"April 22, 2020",0
"April 22, 2020",0
"April 22, 2020",0
"April 22, 2020",5
"April 22, 2020",0
"April 22, 2020",0
"April 22, 2020",0
"April 22, 2020",7
"April 22, 2020",0
"April 22, 2020",2
"April 22, 2020",1
"April 22, 2020",0
"April 22, 2020",0
"April 22, 2020",0
"April 22, 2020",0
"April 22, 2020",0
"April 22, 2020",0
"April 22, 2020",1
"April 22, 2020",6
"April 22, 2020",11
"April 22, 2020",6
"April 22, 2020",3
"April 22, 2020",7
"April 22, 2020",1
"April 22, 2020",1
"April 22, 2020",0
"April 22, 2020",0
"April 22, 2020",0
"April 22, 2020",0
"April 22, 2020",1
"April 22, 2020",0
"April 22, 2020",0
"April 22, 2020",0
"April 22, 2020",0
"April 23, 2020",2
"April 23, 2020",0
"April 23, 2020",0
"April 23, 2020",0
"April 23, 2020",0
"April 23, 2020",0
"April 23, 2020",0
"April 23, 2020",1
"April 23, 2020",2
"April 23, 2020",0
"April 23, 2020",0
"April 23, 2020",7
"April 23, 2020",0
"April 23, 2020",0
"April 23, 2020",0
"April 23, 2020",0
"April 23, 2020",0
"April 23, 2020",0
"April 23, 2020",0
"April 23, 2020",1
"April 23, 2020",1
"April 23, 2020",4
"April 23, 2020",15
"April 23, 2020",0
"April 23, 2020",4
"April 23, 2020",0
"April 23, 2020",0
"April 23, 2020",1
"April 23, 2020",0
"April 23, 2020",0
"April 23, 2020",0
"April 23, 2020",6
"April 23, 2020",1
"April 23, 2020",1
"April 23, 2020",6
"April 23, 2020",0
"April 23, 2020",
"April 24, 2020",1
"April 24, 2020",0
"April 24, 2020",0
"April 24, 2020",0
"April 24, 2020",0
"April 24, 2020",0
"April 24, 2020",0
"April 24, 2020",0
"April 24, 2020",1
"April 24, 2020",2
"April 24, 2020",0
"April 24, 2020",4
"April 24, 2020",0
"April 24, 2020",0
"April 24, 2020",0
"April 24, 2020",0
"April 24, 2020",0
"April 24, 2020",0
"April 24, 2020",0
"April 24, 2020",0
"April 24, 2020",1
"April 24, 2020",1
"April 24, 2020",4
"April 24, 2020",0
"April 24, 2020",3
"April 24, 2020",0
"April 24, 2020",0
"April 24, 2020",5
"April 24, 2020",5
"April 24, 2020",2
"April 24, 2020",1
"April 24, 2020",0
"April 24, 2020",0
"April 24, 2020",0
"April 24, 2020",0
"April 24, 2020",1
"April 25, 2020",0
"April 25, 2020",1
"April 25, 2020",0
"April 25, 2020",0
"April 25, 2020",0
"April 25, 2020",0
"April 25, 2020",0
"April 25, 2020",0
"April 25, 2020",0
"April 25, 2020",0
"April 25, 2020",1
"April 25, 2020",0
"April 25, 2020",4
"April 25, 2020",3
"April 25, 2020",0
"April 25, 2020",2
"April 25, 2020",7
"April 25, 2020",1
"April 25, 2020",0
"April 25, 2020",1
"April 25, 2020",0
"April 25, 2020",0
"April 25, 2020",0
"April 25, 2020",4
"April 25, 2020",6
"April 25, 2020",2
"April 25, 2020",1
"April 25, 2020",1
"April 25, 2020",0
"April 25, 2020",0
"April 25, 2020",0
"April 25, 2020",1
"April 25, 2020",0
"April 25, 2020",0
"April 25, 2020",0
"April 26, 2020",0
"April 26, 2020",1
"April 26, 2020",0
"April 26, 2020",0
"April 26, 2020",0
"April 26, 2020",0
"April 26, 2020",0
"April 26, 2020",0
"April 26, 2020",0
"April 26, 2020",1
"April 26, 2020",3
"April 26, 2020",0
"April 26, 2020",3
"April 26, 2020",0
"April 26, 2020",1
"April 26, 2020",0
"April 26, 2020",0
"April 26, 2020",0
"April 26, 2020",0
"April 26, 2020",1
"April 26, 2020",4
"April 26, 2020",6
"April 26, 2020",2
"April 26, 2020",1
"April 26, 2020",1
"April 26, 2020",0
"April 26, 2020",0
"April 26, 2020",0
"April 26, 2020",0
"April 26, 2020",0
"April 26, 2020",0
"April 26, 2020",0
"April 26, 2020",6
"April 26, 2020",8
